Resume_ID,Name,Skills,Experience (Years),Education,Certifications,Job Role,Recruiter Decision,Salary Expectation ($),Projects Count,AI Score (0-100),Skills_list,Hire_binary,gender,ethnicity
55,James Jones,"Python, SQL, Machine Learning",0,B.Tech,AWS Certified,Data Scientist,Reject,112663,7,60,"['python', 'sql', 'machine learning']",0,male,unknown
56,Danielle Drake,"Cybersecurity, Networking, Ethical Hacking",1,B.Sc,Google ML,Cybersecurity Analyst,Reject,56827,4,55,"['cybersecurity', 'networking', 'ethical hacking']",0,female,unknown
57,Rachel Wheeler,"C++, Java, SQL, React",3,B.Sc,Google ML,Software Engineer,Hire,49367,3,75,"['c++', 'java', 'sql', 'react']",1,female,unknown
58,April Flores,"Networking, Cybersecurity, Ethical Hacking, Linux",1,B.Sc,AWS Certified,Cybersecurity Analyst,Reject,86274,3,55,"['networking', 'cybersecurity', 'ethical hacking', 'linux']",0,female,unknown
59,Ruth Oconnell,"TensorFlow, Pytorch",2,B.Sc,None,AI Researcher,Reject,62312,1,35,"['tensorflow', 'pytorch']",0,female,unknown
60,Sarah Kane,"Java, React",6,PhD,Google ML,Software Engineer,Hire,80278,4,100,"['java', 'react']",1,female,unknown
61,Rebecca Wagner,"Python, Pytorch",0,B.Tech,Deep Learning Specialization,AI Researcher,Hire,71804,10,70,"['python', 'pytorch']",1,female,unknown
62,Laura Howell,"SQL, Deep Learning, Machine Learning, Python",8,B.Sc,None,Data Scientist,Hire,72780,9,100,"['sql', 'deep learning', 'machine learning', 'python']",1,female,unknown
63,Kevin Miller,"Machine Learning, Deep Learning, Python",9,M.Tech,Google ML,Data Scientist,Hire,84443,3,100,"['machine learning', 'deep learning', 'python']",1,male,unknown
64,Joanna Foster,"C++, React, Java, SQL",9,M.Tech,None,Software Engineer,Hire,99057,8,100,"['c++', 'react', 'java', 'sql']",1,female,unknown
65,Steven Bell II,"Deep Learning, Python, Machine Learning, SQL",10,MBA,Deep Learning Specialization,Data Scientist,Hire,63516,2,100,"['deep learning', 'python', 'machine learning', 'sql']",1,male,unknown
66,Cynthia Simmons,"Java, React, C++",1,PhD,None,Software Engineer,Reject,62647,3,40,"['java', 'react', 'c++']",0,female,unknown
67,Brittney Mccormick,"Java, C++, React, SQL",8,B.Sc,None,Software Engineer,Hire,89042,1,100,"['java', 'c++', 'react', 'sql']",1,female,unknown
68,David Mitchell,"Pytorch, Python, TensorFlow, NLP",9,M.Tech,Google ML,AI Researcher,Hire,47919,4,100,"['pytorch', 'python', 'tensorflow', 'nlp']",1,male,unknown
69,Christopher Reed,"Linux, Networking, Ethical Hacking, Cybersecurity",9,M.Tech,Google ML,Cybersecurity Analyst,Hire,81596,3,100,"['linux', 'networking', 'ethical hacking', 'cybersecurity']",1,male,unknown
70,Jonathan Fowler,"SQL, Python, Machine Learning, Deep Learning",1,B.Tech,AWS Certified,Data Scientist,Reject,43647,1,45,"['sql', 'python', 'machine learning', 'deep learning']",0,male,unknown
71,Taylor Wright,"Pytorch, TensorFlow, NLP",8,PhD,Deep Learning Specialization,AI Researcher,Hire,50670,0,100,"['pytorch', 'tensorflow', 'nlp']",1,unknown,unknown
72,Curtis Townsend,"Ethical Hacking, Networking, Linux",0,MBA,Google ML,Cybersecurity Analyst,Reject,60440,7,60,"['ethical hacking', 'networking', 'linux']",0,male,unknown
73,Scott Kidd,"Python, SQL, Machine Learning, Deep Learning",0,M.Tech,Deep Learning Specialization,Data Scientist,Reject,69800,6,60,"['python', 'sql', 'machine learning', 'deep learning']",0,male,unknown
74,Donald Duffy,"Java, SQL",5,MBA,AWS Certified,Software Engineer,Hire,40914,6,100,"['java', 'sql']",1,male,unknown
75,Michael Chapman,"TensorFlow, NLP",9,B.Sc,Deep Learning Specialization,AI Researcher,Hire,111697,4,100,"['tensorflow', 'nlp']",1,male,unknown
76,Carolyn James,"Java, React, SQL, C++",4,B.Tech,Deep Learning Specialization,Software Engineer,Hire,88155,8,100,"['java', 'react', 'sql', 'c++']",1,female,unknown
77,Timothy Kirby,"Python, Machine Learning",0,M.Tech,Deep Learning Specialization,Data Scientist,Reject,61332,0,20,"['python', 'machine learning']",0,male,unknown
78,Michael Vasquez,"Cybersecurity, Ethical Hacking, Linux, Networking",7,PhD,None,Cybersecurity Analyst,Hire,62406,1,95,"['cybersecurity', 'ethical hacking', 'linux', 'networking']",1,male,unknown
79,Brooke Charles,"TensorFlow, Python",1,MBA,None,AI Researcher,Reject,75420,6,50,"['tensorflow', 'python']",0,female,unknown
80,Wesley Rodriguez,"Deep Learning, Python, Machine Learning, SQL",6,B.Sc,Deep Learning Specialization,Data Scientist,Hire,82300,4,100,"['deep learning', 'python', 'machine learning', 'sql']",1,male,unknown
81,Jamie Rose,"NLP, TensorFlow, Pytorch",7,MBA,None,AI Researcher,Hire,88358,4,100,"['nlp', 'tensorflow', 'pytorch']",1,unknown,unknown
82,Melissa Clark,"React, C++",1,PhD,Deep Learning Specialization,Software Engineer,Hire,107085,10,80,"['react', 'c++']",1,female,unknown
83,Ryan Moore,"C++, Java",9,M.Tech,Deep Learning Specialization,Software Engineer,Hire,51284,4,100,"['c++', 'java']",1,male,unknown
84,Shawn Richardson,"Python, NLP, TensorFlow",10,B.Tech,None,AI Researcher,Hire,62710,2,100,"['python', 'nlp', 'tensorflow']",1,male,unknown
85,Lisa Navarro,"Java, SQL, C++",0,B.Sc,AWS Certified,Software Engineer,Reject,52290,2,35,"['java', 'sql', 'c++']",0,female,unknown
86,Renee Patterson MD,"Java, React, C++",8,M.Tech,None,Software Engineer,Hire,87272,2,100,"['java', 'react', 'c++']",1,female,unknown
87,Heather Bauer,"SQL, Deep Learning, Python, Machine Learning",6,M.Tech,Deep Learning Specialization,Data Scientist,Hire,72143,10,100,"['sql', 'deep learning', 'python', 'machine learning']",1,female,unknown
88,Derek Smith,"Python, Pytorch",7,B.Sc,None,AI Researcher,Hire,98548,7,100,"['python', 'pytorch']",1,male,unknown
89,Jose Mclaughlin,"React, SQL, Java",5,PhD,Google ML,Software Engineer,Hire,102333,10,100,"['react', 'sql', 'java']",1,male,unknown
90,Christina Johnson,"Linux, Ethical Hacking, Cybersecurity, Networking",10,M.Tech,None,Cybersecurity Analyst,Hire,60343,8,100,"['linux', 'ethical hacking', 'cybersecurity', 'networking']",1,female,unknown
91,David Santos,"NLP, TensorFlow",4,MBA,Google ML,AI Researcher,Hire,49331,7,95,"['nlp', 'tensorflow']",1,male,unknown
92,Melissa Salinas,"Pytorch, TensorFlow, Python",4,MBA,Google ML,AI Researcher,Hire,67536,6,95,"['pytorch', 'tensorflow', 'python']",1,female,unknown
93,Cody Pace,"TensorFlow, NLP, Pytorch",5,B.Sc,AWS Certified,AI Researcher,Hire,88653,0,75,"['tensorflow', 'nlp', 'pytorch']",1,male,unknown
94,Juan Jimenez,"NLP, Pytorch",0,B.Sc,Deep Learning Specialization,AI Researcher,Hire,87556,10,70,"['nlp', 'pytorch']",1,male,unknown
95,Madison Dunn,"Java, SQL, C++",9,B.Tech,Google ML,Software Engineer,Hire,113365,8,100,"['java', 'sql', 'c++']",1,female,unknown
96,Stephen Watkins,"TensorFlow, Pytorch, Python, NLP",1,B.Sc,AWS Certified,AI Researcher,Reject,97235,4,60,"['tensorflow', 'pytorch', 'python', 'nlp']",0,male,unknown
97,Dawn Tucker,"TensorFlow, NLP, Pytorch, Python",4,PhD,Deep Learning Specialization,AI Researcher,Hire,89633,2,80,"['tensorflow', 'nlp', 'pytorch', 'python']",1,female,unknown
98,Michelle Benton,"TensorFlow, Pytorch, NLP, Python",6,B.Tech,AWS Certified,AI Researcher,Hire,109750,9,100,"['tensorflow', 'pytorch', 'nlp', 'python']",1,female,unknown
99,Shannon Patel,"Python, Deep Learning",6,PhD,Google ML,Data Scientist,Hire,63260,8,100,"['python', 'deep learning']",1,unknown,unknown
100,Sandra Perkins,"SQL, Java, React",6,B.Sc,Google ML,Software Engineer,Hire,67745,3,100,"['sql', 'java', 'react']",1,female,unknown
101,Sheryl Freeman,"Linux, Cybersecurity",1,M.Tech,Google ML,Cybersecurity Analyst,Reject,85755,3,45,"['linux', 'cybersecurity']",0,female,unknown
102,Elaine Ryan,"Ethical Hacking, Cybersecurity",8,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,58775,3,100,"['ethical hacking', 'cybersecurity']",1,female,unknown
103,Jonathan Hernandez,"Ethical Hacking, Networking",2,MBA,Deep Learning Specialization,Cybersecurity Analyst,Reject,49346,3,55,"['ethical hacking', 'networking']",0,male,Hispanic/Latino
104,Emily Williamson,"Ethical Hacking, Networking, Linux",8,PhD,None,Cybersecurity Analyst,Hire,97521,7,100,"['ethical hacking', 'networking', 'linux']",1,female,unknown
105,Miguel Dunn,"Java, SQL",5,B.Tech,Google ML,Software Engineer,Hire,81801,1,75,"['java', 'sql']",1,male,unknown
106,Natasha Orr,"Deep Learning, Machine Learning, SQL",7,B.Tech,AWS Certified,Data Scientist,Hire,118152,6,100,"['deep learning', 'machine learning', 'sql']",1,female,unknown
107,David Richardson,"NLP, Python, TensorFlow",9,B.Tech,AWS Certified,AI Researcher,Hire,105695,0,100,"['nlp', 'python', 'tensorflow']",1,male,unknown
108,Michael Lewis,"Python, Deep Learning, Machine Learning",2,B.Tech,Deep Learning Specialization,Data Scientist,Reject,98024,2,55,"['python', 'deep learning', 'machine learning']",0,male,unknown
109,Michael Jones,"Python, Machine Learning, SQL",4,B.Tech,None,Data Scientist,Hire,85884,6,85,"['python', 'machine learning', 'sql']",1,male,unknown
110,Nicole Hunt,"Ethical Hacking, Linux, Networking, Cybersecurity",7,MBA,None,Cybersecurity Analyst,Hire,107237,3,100,"['ethical hacking', 'linux', 'networking', 'cybersecurity']",1,female,unknown
111,Austin Hunter,"Java, React",9,B.Tech,Google ML,Software Engineer,Hire,117897,0,100,"['java', 'react']",1,male,unknown
112,Richard Jones MD,"Machine Learning, SQL, Deep Learning",5,B.Tech,Deep Learning Specialization,Data Scientist,Hire,59033,4,95,"['machine learning', 'sql', 'deep learning']",1,male,unknown
113,Sydney Nelson,"SQL, Python, Machine Learning, Deep Learning",3,MBA,Deep Learning Specialization,Data Scientist,Hire,102054,1,65,"['sql', 'python', 'machine learning', 'deep learning']",1,unknown,unknown
114,Paula Mills,"Pytorch, TensorFlow",0,B.Sc,Deep Learning Specialization,AI Researcher,Reject,98413,3,35,"['pytorch', 'tensorflow']",0,female,unknown
115,Meagan King,"C++, Java",2,MBA,Deep Learning Specialization,Software Engineer,Reject,85561,2,50,"['c++', 'java']",0,female,unknown
116,Tina Smith,"NLP, TensorFlow, Pytorch",9,PhD,None,AI Researcher,Hire,88498,9,100,"['nlp', 'tensorflow', 'pytorch']",1,female,unknown
117,Mr. David Boyle,"Networking, Cybersecurity, Linux, Ethical Hacking",10,B.Tech,None,Cybersecurity Analyst,Hire,101100,10,100,"['networking', 'cybersecurity', 'linux', 'ethical hacking']",1,male,unknown
118,Mariah Randolph,"React, C++, Java",5,PhD,AWS Certified,Software Engineer,Hire,72099,10,100,"['react', 'c++', 'java']",1,female,unknown
119,Sandra Freeman,"React, Java, SQL",4,MBA,Google ML,Software Engineer,Hire,99599,9,100,"['react', 'java', 'sql']",1,female,unknown
120,Joseph Carroll,"React, C++, Java, SQL",5,MBA,Deep Learning Specialization,Software Engineer,Hire,68881,8,100,"['react', 'c++', 'java', 'sql']",1,male,unknown
121,Cynthia Espinoza,"Java, React",6,B.Sc,Google ML,Software Engineer,Hire,62463,0,80,"['java', 'react']",1,female,Hispanic/Latino
122,Robert Carey,"Python, TensorFlow, Pytorch, NLP",4,B.Sc,AWS Certified,AI Researcher,Hire,47581,2,80,"['python', 'tensorflow', 'pytorch', 'nlp']",1,male,unknown
123,Stephen Mcdonald,"Linux, Networking, Cybersecurity, Ethical Hacking",7,PhD,None,Cybersecurity Analyst,Hire,91604,3,100,"['linux', 'networking', 'cybersecurity', 'ethical hacking']",1,male,unknown
124,Haley Gonzalez,"SQL, Java",1,PhD,AWS Certified,Software Engineer,Hire,74663,9,75,"['sql', 'java']",1,female,Hispanic/Latino
125,Jaime Wilson,"Java, C++, React",6,MBA,AWS Certified,Software Engineer,Hire,64025,10,100,"['java', 'c++', 'react']",1,unknown,unknown
126,Taylor Cunningham,"SQL, Python",9,B.Sc,Deep Learning Specialization,Data Scientist,Hire,66133,2,100,"['sql', 'python']",1,unknown,unknown
127,Sophia Bradley,"Machine Learning, Python, Deep Learning, SQL",5,M.Tech,Deep Learning Specialization,Data Scientist,Hire,95222,5,100,"['machine learning', 'python', 'deep learning', 'sql']",1,female,unknown
128,Gary Hanson,"Pytorch, Python",3,MBA,Deep Learning Specialization,AI Researcher,Reject,48726,0,50,"['pytorch', 'python']",0,male,unknown
129,Michael Ingram,"Linux, Networking, Ethical Hacking, Cybersecurity",8,B.Sc,AWS Certified,Cybersecurity Analyst,Hire,111242,5,100,"['linux', 'networking', 'ethical hacking', 'cybersecurity']",1,male,unknown
130,Shannon Alvarez,"Python, NLP, Pytorch",3,B.Sc,Deep Learning Specialization,AI Researcher,Reject,91770,0,55,"['python', 'nlp', 'pytorch']",0,unknown,Hispanic/Latino
131,Jonathan Howard,"NLP, Python, Pytorch, TensorFlow",1,B.Sc,AWS Certified,AI Researcher,Reject,113470,4,60,"['nlp', 'python', 'pytorch', 'tensorflow']",0,male,unknown
132,Rebecca Reynolds,"Java, C++, SQL",0,B.Sc,None,Software Engineer,Reject,103202,3,30,"['java', 'c++', 'sql']",0,female,unknown
133,Eric Gregory,"Ethical Hacking, Networking, Linux, Cybersecurity",8,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,Hire,114147,4,100,"['ethical hacking', 'networking', 'linux', 'cybersecurity']",1,male,unknown
134,Brad Stephens,"C++, Java, React, SQL",1,PhD,None,Software Engineer,Reject,116556,0,30,"['c++', 'java', 'react', 'sql']",0,male,unknown
135,Paul Castro,"TensorFlow, NLP, Python, Pytorch",6,B.Sc,Deep Learning Specialization,AI Researcher,Hire,60828,3,100,"['tensorflow', 'nlp', 'python', 'pytorch']",1,male,Hispanic/Latino
136,Elizabeth Williamson,"Networking, Cybersecurity",7,B.Sc,None,Cybersecurity Analyst,Hire,42894,0,80,"['networking', 'cybersecurity']",1,female,unknown
137,Mason Jones,"Linux, Cybersecurity, Ethical Hacking",4,M.Tech,None,Cybersecurity Analyst,Hire,114988,5,80,"['linux', 'cybersecurity', 'ethical hacking']",1,male,unknown
138,Jean Clark,"Machine Learning, Python, SQL",10,M.Tech,Google ML,Data Scientist,Hire,88678,3,100,"['machine learning', 'python', 'sql']",1,unknown,unknown
139,Tyler Henderson,"Deep Learning, SQL, Python, Machine Learning",4,M.Tech,None,Data Scientist,Hire,60868,7,95,"['deep learning', 'sql', 'python', 'machine learning']",1,male,unknown
140,Jamie Robertson,"Ethical Hacking, Cybersecurity, Networking, Linux",3,MBA,Google ML,Cybersecurity Analyst,Hire,93303,1,65,"['ethical hacking', 'cybersecurity', 'networking', 'linux']",1,unknown,unknown
141,Ronald Thomas,"Deep Learning, Python, SQL",3,B.Sc,Google ML,Data Scientist,Hire,64716,2,65,"['deep learning', 'python', 'sql']",1,male,unknown
142,Ashley Peters,"Cybersecurity, Ethical Hacking, Linux",9,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,59885,2,100,"['cybersecurity', 'ethical hacking', 'linux']",1,female,unknown
143,Thomas Davis,"SQL, Machine Learning, Deep Learning, Python",5,B.Tech,None,Data Scientist,Hire,89620,3,85,"['sql', 'machine learning', 'deep learning', 'python']",1,male,unknown
144,David Krause,"Networking, Linux, Cybersecurity, Ethical Hacking",10,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,83474,0,100,"['networking', 'linux', 'cybersecurity', 'ethical hacking']",1,male,unknown
145,Tabitha Clark,"TensorFlow, Pytorch, Python",5,B.Tech,Google ML,AI Researcher,Hire,79333,5,100,"['tensorflow', 'pytorch', 'python']",1,female,unknown
146,Catherine Garcia,"TensorFlow, Pytorch, NLP",10,M.Tech,AWS Certified,AI Researcher,Hire,58221,8,100,"['tensorflow', 'pytorch', 'nlp']",1,female,Hispanic/Latino
147,Dawn Brown,"SQL, Python, Deep Learning, Machine Learning",10,PhD,None,Data Scientist,Hire,119703,1,100,"['sql', 'python', 'deep learning', 'machine learning']",1,female,unknown
148,Joshua Hughes,"Python, Machine Learning",8,PhD,AWS Certified,Data Scientist,Hire,95978,4,100,"['python', 'machine learning']",1,male,unknown
149,Laurie Cervantes,"TensorFlow, NLP, Pytorch",6,B.Tech,Deep Learning Specialization,AI Researcher,Hire,63269,0,85,"['tensorflow', 'nlp', 'pytorch']",1,female,Hispanic/Latino
150,Shannon Johnson,"Python, Machine Learning",9,B.Sc,Google ML,Data Scientist,Hire,83152,2,100,"['python', 'machine learning']",1,unknown,unknown
151,Karen Peters,"Ethical Hacking, Networking, Linux",3,B.Tech,Google ML,Cybersecurity Analyst,Hire,118508,7,90,"['ethical hacking', 'networking', 'linux']",1,female,unknown
152,Jacqueline Lee,"SQL, React, Java",6,PhD,AWS Certified,Software Engineer,Hire,99537,10,100,"['sql', 'react', 'java']",1,female,Asian
153,Dale Williams,"Python, Machine Learning, SQL, Deep Learning",7,PhD,AWS Certified,Data Scientist,Hire,62092,2,100,"['python', 'machine learning', 'sql', 'deep learning']",1,male,unknown
154,Victoria Kennedy,"Python, Deep Learning, SQL, Machine Learning",7,B.Tech,Google ML,Data Scientist,Hire,65981,0,100,"['python', 'deep learning', 'sql', 'machine learning']",1,female,unknown
155,Brandon Ruiz,"Ethical Hacking, Linux, Cybersecurity",5,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,53855,8,100,"['ethical hacking', 'linux', 'cybersecurity']",1,male,Hispanic
156,Anthony Neal,"Cybersecurity, Ethical Hacking, Networking, Linux",6,M.Tech,None,Cybersecurity Analyst,Hire,98876,2,90,"['cybersecurity', 'ethical hacking', 'networking', 'linux']",1,male,unknown
157,Paul Wallace,"Linux, Ethical Hacking, Networking, Cybersecurity",6,B.Sc,AWS Certified,Cybersecurity Analyst,Hire,59082,5,100,"['linux', 'ethical hacking', 'networking', 'cybersecurity']",1,male,unknown
158,Renee Odonnell DDS,"Pytorch, TensorFlow, Python",2,PhD,None,AI Researcher,Reject,85955,1,40,"['pytorch', 'tensorflow', 'python']",0,female,unknown
159,Christopher White,"Ethical Hacking, Linux",6,B.Sc,AWS Certified,Cybersecurity Analyst,Hire,113676,9,100,"['ethical hacking', 'linux']",1,male,unknown
